Week,SKU,Region,Demand,Global Status,DNA Collection ,DNA Category ,DNA Sub Category ,DNA Metal ,DNA Material ,DNA Stones ,DNA Color ,DNA Size ,Date Item Introduced,Date Item Discontinue,Design Variation,Campaign Id,Theme Id,Theme Description,Year,Week_Number,Seasonality,Evolving State,Buckets
2020-W29,9557,0,88.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2020,29,0,1,2
2020-W3,9557,0,144.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2020,3,0,1,2
2020-W30,9557,0,146.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2020,30,0,1,2
2020-W31,9557,0,211.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2020,31,0,1,2
2020-W32,9557,0,131.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2020,32,0,1,2
2020-W33,9557,0,124.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2020,33,0,1,2
2020-W34,9557,0,93.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2020,34,0,1,2
2020-W35,9557,0,114.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2020,35,0,1,2
2020-W36,9557,0,103.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2020,36,0,1,2
2020-W37,9557,0,110.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2020,37,0,1,2
2020-W38,9557,0,103.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2020,38,0,1,2
2020-W39,9557,0,138.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2020,39,0,1,2
2020-W4,9557,0,147.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2020,4,0,1,2
2020-W40,9557,0,161.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2020,40,0,1,2
2020-W41,9557,0,146.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2020,41,0,1,2
2020-W42,9557,0,84.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2020,42,0,1,2
